barcode,product,model,color,size,price
3240201005009,กระเป๋าเล็ก,201,ม่วง,-,1190
3240101001002,กระเป๋าหนัง,A1,ดำ,-,2590
3240101002009,กระเป๋าหนัง,A1,ตาล,-,2590
3240101004003,กระเป๋าหนัง,A1,แทน,-,2590
3240186001003,กระเป๋าหนัง,A86,ดำ,-,2590
3240186002000,กระเป๋าหนัง,A86,ตาล,-,2590
3240186008002,กระเป๋าหนัง,A86,เทา,-,2590
3240187001002,กระเป๋าหนัง,A87,ดำ,-,2590
3240187002009,กระเป๋าหนัง,A87,ตาล,-,2590
3240187008001,กระเป๋าหนัง,A87,เทา,-,2590
3240188001001,กระเป๋าหนัง,A88,ดำ,-,2590
3240188002008,กระเป๋าหนัง,A88,ตาล,-,2590
3240101008001,กระเป๋าหนัง,A88,เทา,-,2590
3240189001000,กระเป๋าหนัง,A89,ดำ,-,2590
3240189002007,กระเป๋าหนัง,A89,ตาล,-,2590
3240190001006,กระเป๋าหนัง,A90,ดำ,-,2590
3240190002003,กระเป๋าหนัง,A90,ตาล,-,2590
3240190004007,กระเป๋าหนัง,A90,แทน,-,2590
3240192001004,กระเป๋าหนัง,A92,ดำ,-,2590
3240192002001,กระเป๋าหนัง,A92,ตาล,-,2590
3240192004005,กระเป๋าหนัง,A92,แทน,-,2590
3240193001003,กระเป๋าหนัง,A93,ดำ,-,2590
3240193002000,กระเป๋าหนัง,A93,ตาล,-,2590
3240193004004,กระเป๋าหนัง,A93,แทน,-,2590
3240008011005,กระเป๋าหนัง,08-1,ดำ,-,2590
3240008012019,กระเป๋าหนัง,08-1,ตาล,-,2590
3240008014020,กระเป๋าหนัง,08-1,แทน,-,2590
3240008015034,กระเป๋าหนัง,08-1,ม่วง,-,2590
3240131001034,กระเป๋าหนัง,131,ดำ,-,2590
3240131002048,กระเป๋าหนัง,131,ตาล,-,2590
3240314001059,กระเป๋าหนัง,314,ดำ,-,2590
3240314002063,กระเป๋าหนัง,314,ตาล,-,2590
3240314004074,กระเป๋าหนัง,314,แทน,-,2590
3240803001089,กระเป๋าหนัง,803,ดำ,-,2590
3240803004097,กระเป๋าหนัง,803,แทน,-,2590
3240929001109,กระเป๋าหนัง,929,ดำ,-,2590
3240929002113,กระเป๋าหนัง,929,ตาล,-,2590
3240929004124,กระเป๋าหนัง,929,แทน,-,2590
3240988004004,กระเป๋าหนัง,988,ส้ม,-,2590
3240988009009,กระเป๋าหนัง,988,ชมพู,-,2590
3243009001129,กระเป๋าหนัง,3009,ดำ,-,2590
3243009004120,กระเป๋าหนัง,3009,แทน,-,2590
3247085011126,กระเป๋าหนัง,7085-1,ดำ,-,2590
3247085012123,กระเป๋าหนัง,7085-1,ตาล,-,2590
3247085014127,กระเป๋าหนัง,7085-1,แทน,-,2590
3247086001126,กระเป๋าหนัง,7086,ดำ,-,2590
3247086002123,กระเป๋าหนัง,7086,ตาล,-,2590
3247086004127,กระเป๋าหนัง,7086,แทน,-,2590
3247106001006,กระเป๋าหนัง,7106,ดำ,-,2590
3247106009002,กระเป๋าหนัง,7106,ส้ม,-,2590
3247114001128,กระเป๋าหนัง,7114,ดำ,-,2590
3247114002125,กระเป๋าหนัง,7114,ตาล,-,2590
3247200001124,กระเป๋าหนัง,7200,ดำ,-,2590
3247200002121,กระเป๋าหนัง,7200,ตาล,-,2590
3247200004125,กระเป๋าหนัง,7200,แทน,-,2590
3247347001124,กระเป๋าหนัง,7347,ดำ,-,2590
3247347002121,กระเป๋าหนัง,7347,ตาล,-,2590
3247347004125,กระเป๋าหนัง,7347,แทน,-,2590
3247347009120,กระเป๋าหนัง,7347,ครีม,-,2590
3247352001126,กระเป๋าหนัง,7352,ดำ,-,2590
3247352002123,กระเป๋าหนัง,7352,ตาล,-,2590
3247352004127,กระเป๋าหนัง,7352,แทน,-,2590
3247361001124,กระเป๋าหนัง,7361,ดำ,-,2590
3247369001126,กระเป๋าหนัง,7369,ดำ,-,2590
3247369002123,กระเป๋าหนัง,7369,ตาล,-,2590
3247369009122,กระเป๋าหนัง,7369,ครีม,-,2590
3247370001122,กระเป๋าหนัง,7370,ดำ,-,2590
3247370002129,กระเป๋าหนัง,7370,ตาล,-,2590
3247370004123,กระเป๋าหนัง,7370,แทน,-,2590
3247372001120,กระเป๋าหนัง,7372,ดำ,-,2590
3247372002127,กระเป๋าหนัง,7372,ตาล,-,2590
3247372009126,กระเป๋าหนัง,7372,แดง,-,2590
3247401001008,กระเป๋าหนัง,7401,ดำ,-,2590
3247405001127,กระเป๋าหนัง,7405,ดำ,-,2590
3247405002124,กระเป๋าหนัง,7405,ตาล,-,2590
3247405009123,กระเป๋าหนัง,7405,ครีม,-,2590
3247422001124,กระเป๋าหนัง,7422,ดำ,-,2590
3247422002121,กระเป๋าหนัง,7422,ตาล,-,2590
3247422009120,กระเป๋าหนัง,7422,ครีม,-,2590
3247433001120,กระเป๋าหนัง,7433,ดำ,-,2590
3247433002127,กระเป๋าหนัง,7433,ตาล,-,2590
3247433009126,กระเป๋าหนัง,7433,แดง,-,2590
3247435001128,กระเป๋าหนัง,7435,ดำ,-,2590
3247435002125,กระเป๋าหนัง,7435,ตาล,-,2590
3247435009124,กระเป๋าหนัง,7435,แดง,-,2590
3247453001001,กระเป๋าหนัง,7453,ดำ,-,2590
3247453002008,กระเป๋าหนัง,7453,ตาล,-,2590
3247453004002,กระเป๋าหนัง,7453,แทน,-,2590
3247461001123,กระเป๋าหนัง,7461,ดำ,-,2590
3247461002120,กระเป๋าหนัง,7461,ตาล,-,2590
3247461004124,กระเป๋าหนัง,7461,แทน,-,2590
3247462001122,กระเป๋าหนัง,7462,ดำ,-,2590
3247462002129,กระเป๋าหนัง,7462,ตาล,-,2590
3247462004123,กระเป๋าหนัง,7462,แทน,-,2590
3247466001005,กระเป๋าหนัง,7466,ดำ,-,2590
3247466002002,กระเป๋าหนัง,7466,ตาล,-,2590
3247467001004,กระเป๋าหนัง,7467,ดำ,-,2590
